Judul,Penerbit,Link,Tanggal Published
"Sosok Ayatollah Ali Khamenei, Pemimpin Iran yang Tewas dalam Serangan AS-Israel",Detik,https://www.detik.com/jateng/berita/d-8378203/sosok-ayatollah-ali-khamenei-pemimpin-iran-yang-tewas-dalam-serangan-as-israel,01 Maret 2026
"Tragis Ali Khamenei, Putri, hingga Cucu Tewas dalam Serangan AS-Israel di Iran",Detik,https://www.detik.com/bali/berita/d-8377959/tragis-ali-khamenei-putri-hingga-cucu-tewas-dalam-serangan-as-israel-di-iran,01 Maret 2026
Ayatollah Ali Khamenei Kembali Muncul Setelah Perang Israel Vs Iran,Detik,https://www.detik.com/bali/berita/d-7998165/ayatollah-ali-khamenei-kembali-muncul-setelah-perang-israel-vs-iran,06 Juli 2025
"Surah As-Saff: 13, Ayat yang Dikutip Ali Khamenei dalam Melawan Israel",Detik,https://www.detik.com/hikmah/khazanah/d-7970973/surah-as-saff-13-ayat-yang-dikutip-ali-khamenei-dalam-melawan-israel,19 Juni 2025
Siapa Ayatollah Ali Khamenei dan Seberapa Berpengaruh Keluarganya?,Detik,https://news.detik.com/bbc-world/d-7970005/siapa-ayatollah-ali-khamenei-dan-seberapa-berpengaruh-keluarganya,18 Juni 2025
Pemimpin Iran Ayatollah Ali Khamenei dan Sepak Terjangnya,Detik,https://www.detik.com/hikmah/khazanah/d-7968635/pemimpin-iran-ayatollah-ali-khamenei-dan-sepak-terjangnya,17 Juni 2025
Netanyahu Sebut Perang Israel Vs Iran Berakhir Jika Ali Khamenei Terbunuh,Detik,https://news.detik.com/internasional/d-7967591/netanyahu-sebut-perang-israel-vs-iran-berakhir-jika-ali-khamenei-terbunuh,17 Juni 2025
"Iran Yakin Menang Lawan Israel, Ali Khamenei Kutip Surah As Saff:13",Detik,https://www.detik.com/hikmah/khazanah/d-7968589/iran-yakin-menang-lawan-israel-ali-khamenei-kutip-surah-as-saff-13,17 Juni 2025
"Iran Yakin Menang Lawan Israel, Ali Khamenei Kutip Surah As Saff:13",Detik,https://www.detik.com/hikmah/khazanah/d-7968589/iran-yakin-menang-lawan-israel-ali-khamenei-kutip-surah-as-saff-13,17 Juni 2025
AS Tolak Rencana Israel Bunuh Ali Khamenei,Detik,https://www.detik.com/bali/berita/d-7965979/as-tolak-rencana-israel-bunuh-ali-khamenei,16 Juni 2025
Trump Larang Israel Bunuh Pemimpin Tertinggi Iran Ali Khamenei,Detik,https://news.detik.com/internasional/d-7965911/trump-larang-israel-bunuh-pemimpin-tertinggi-iran-ali-khamenei,16 Juni 2025
"Profil Ayatollah Ali Khamenei, Pemimpin Tertinggi Iran Penjaga Revolusi Islam",Detik,https://www.detik.com/hikmah/khazanah/d-7966975/profil-ayatollah-ali-khamenei-pemimpin-tertinggi-iran-penjaga-revolusi-islam,16 Juni 2025
