Judul,Penerbit,Kategori,Link,Tanggal Published
"Biografi Tokoh Dunia: Profil: Ayatollah Ali Khamenei, Pemimpin Tertinggi Iran yang Lebih Berkuasa dari Presiden",Kompas,Global,https://www.kompas.com/global/read/2021/08/03/063000270/biografi-tokoh-dunia--profil--ayatollah-ali-khamenei-pemimpin-tertinggi,3 Agustus 2021
"Pernyataan Ayatollah Ali Khamenei, Tolak Seruan AS untuk Menyerah",Kompas,Video,https://video.kompas.com/watch/1855721/pernyataan-ayatollah-ali-khamenei-tolak-seruan-as-untuk-menyerah,18 Juni 2025
"Untuk Pertama Kalinya, Trump Isyaratkan Akhiri Kekuasaan Ali Khamenei",Kompas,Video,https://video.kompas.com/watch/1903744/untuk-pertama-kalinya-trump-isyaratkan-akhiri-kekuasaan-ali-khamenei,18 Januari 2026
Khamenei: Stop Protes,Kompas,News,https://internasional.kompas.com/read/xml/2009/06/20/0646247/Khamenei.Stop.Protes,20 Juni 2009
"Ogah Menyerah, Ali Khamenei: Tak Ada Belas Kasihan untuk Israel",Kompas,Video,https://video.kompas.com/watch/1855659/ogah-menyerah-ali-khamenei-tak-ada-belas-kasihan-untuk-israel,18 Juni 2025
Ayatollah Khamenei Memecah Kebisuan,Kompas,News,https://internasional.kompas.com/read/xml/2009/06/19/1059351/Ayatollah.Khamenei.Memecah.Kebisuan,19 Juni 2009
"Israel Klaim Serangannya Tewaskan Ali Shadmani, Orang Dekat Khamenei",Kompas,Video,https://video.kompas.com/watch/1855457/israel-klaim-serangannya-tewaskan-ali-shadmani-orang-dekat-khamenei,18 Juni 2025
Senjakala Palestina Sepeninggal Khamenei,Kompas,Global,https://www.kompas.com/global/read/2026/03/05/051514870/senjakala-palestina-sepeninggal-khamenei,5 Maret 2026
"[POPULER TREN] 15 Fakta Serangan AS-Israel ke Iran | Ali Khamenei Tewas, Presiden Iran Pastikan Akan Luncurkan Balasan",Kompas,Tren,https://www.kompas.com/tren/read/2026/03/02/053000165/-populer-tren-15-fakta-serangan-as-israel-ke-iran-ali-khamenei-tewas,2 Maret 2026
Ayatollah Khamenei Mulai Diguncang,Kompas,News,https://internasional.kompas.com/read/xml/2009/07/25/07305549/Ayatollah.Khamenei.Mulai.Diguncang,25 Juli 2009
Apa yang Bakal Dihadapi Ali Khamenei Usai Keluar dari Persembunyiannya?,Kompas,Video,https://video.kompas.com/watch/1858068/apa-yang-bakal-dihadapi-ali-khamenei-usai-keluar-dari-persembunyiannya,29 Juni 2025
Serangan Israel Targetkan Kawasan Kediaman Pemimpin Tertinggi Iran Ali Khamenei,Kompas,Video,https://video.kompas.com/watch/1854594/serangan-israel-targetkan-kawasan-kediaman-pemimpin-tertinggi-iran-ali-khamenei,14 Juni 2025
Death of The iPod,Kompas,News,https://english.kompas.com/read/xml/2011/07/22/17213314/Death.of.The.iPod,22 Juli 2011
Gaddafi: We Welcome Death,Kompas,News,https://english.kompas.com/read/xml/2011/06/08/11013729/Gaddafi.We.Welcome.Death,8 Juni 2011
Death of The SMS?,Kompas,Sains,https://english.kompas.com/read/xml/2011/04/26/10275683/Death.of.The.SMS.,26 April 2011
Antasari Faces Death Penalty,Kompas,News,https://english.kompas.com/read/xml/2009/10/08/11514250/Antasari.Faces.Death.Penalty,8 Oktober 2009
"Mendengar Teriakan ""Ali... Ali..."" di Muhammad Ali Boulevard...",Kompas,News,https://internasional.kompas.com/read/xml/2016/06/11/08490791/mendengar.teriakan.ali.ali.di.muhammad.ali.boulevard.,11 Juni 2016
Khamenei Mengelak Tuduhan Pengembangan Nuklir,Kompas,News,https://internasional.kompas.com/read/xml/2009/09/20/23440636/Khamenei.Mengelak.Tuduhan.Pengembangan.Nuklir,20 September 2009
Pendukung Mousavi Abaikan Perintah Khamenei,Kompas,News,https://internasional.kompas.com/read/xml/2009/06/20/16301652/Pendukung.Mousavi.Abaikan.Perintah.Khamenei,20 Juni 2009
Pemimpin Tertinggi Iran Ali Khamenei Ancam Serang Lagi Pangkalan Militer AS,Kompas,Video,https://video.kompas.com/watch/1861040/pemimpin-tertinggi-iran-ali-khamenei-ancam-serang-lagi-pangkalan-militer-as,12 Juli 2025
Ali Khamenei Puji Serangan Balasan Houthi Yaman ke Kapal Induk AS,Kompas,Video,https://video.kompas.com/watch/1833176/ali-khamenei-puji-serangan-balasan-houthi-yaman-ke-kapal-induk-as,17 Maret 2025
"Terus Digempur Israel, Pemimpin Tertinggi Iran Ayatollah Ali Khamenei Hadapi Pilihan Sulit",Kompas,Video,https://video.kompas.com/watch/1856370/terus-digempur-israel-pemimpin-tertinggi-iran-ayatollah-ali-khamenei-hadapi-pilihan-sulit,21 Juni 2025
